,Height,2013/05/15 17:20:38,2013/05/15 17:21:38,2013/05/15 17:22:37,2013/05/15 17:23:37,2013/05/15 17:24:38,2013/05/15 17:25:38,2013/05/15 17:26:38,2013/05/15 17:27:38,2013/05/15 17:28:37,2013/05/15 17:29:37,2013/05/15 17:30:37,2013/05/15 17:31:38,2013/05/15 17:32:38,2013/05/15 17:33:38,2013/05/15 17:34:37,2013/05/15 17:35:37,2013/05/15 17:36:37,2013/05/15 17:56:38,2013/05/15 17:57:38,2013/05/15 17:58:38,2013/05/15 17:59:38,2013/05/15 18:00:38,2013/05/15 18:01:38,2013/05/15 18:02:38,2013/05/15 18:03:38,2013/05/15 18:04:38,2013/05/15 18:05:38,2013/05/15 18:06:38,2013/05/15 18:07:38,2013/05/15 18:08:38,2013/05/15 18:09:38,2013/05/15 18:10:38,2013/05/15 18:11:38,2013/05/15 18:12:38,2013/05/15 18:13:38,2013/05/15 18:14:38,2013/05/15 18:15:38,2013/05/15 18:16:38,2013/05/15 18:17:38,2013/05/15 18:18:38,2013/05/15 18:19:38,2013/05/15 18:20:38,2013/05/15 18:21:38,2013/05/15 19:10:38,2013/05/15 19:11:37,2013/05/15 19:12:38,2013/05/15 19:13:38,2013/05/15 19:14:38,2013/05/15 19:15:38,2013/05/15 19:16:37,2013/05/15 19:17:38,2013/05/15 19:18:38,2013/05/15 19:19:38,2013/05/15 19:20:38,2013/05/15 19:21:37,2013/05/15 19:22:38,2013/05/15 19:23:38,2013/05/15 19:24:38,2013/05/15 19:25:38,2013/05/15 19:26:38,2013/05/15 19:27:38,2013/05/15 19:28:38,2013/05/15 19:29:38,2013/05/15 19:30:38,2013/05/15 19:31:37,2013/05/15 19:32:37,2013/05/15 19:33:37,2013/05/15 19:34:37,2013/05/15 19:35:38
11,2750.0,0.052786,0.048025,0.033143,0.050901,0.061464,0.061431,0.037538,0.046026,0.053973,0.021435,0.035896,0.047968,0.048292,0.038949,0.026764,0.058495,0.048282,0.053723,0.038106,0.062429,0.059422,0.063838,0.045615,0.056345,0.034874,0.055798,0.050079,0.054434,0.051238,0.046292,0.057993,0.048755,0.049534,0.053431,0.042903,0.055659,0.049065,0.053864,0.067757,0.033366,0.049878,0.049156,0.055005,0.053313,0.058955,0.040487,0.048693,0.05163,0.049433,0.035168,0.057183,0.057307,0.043472,0.053153,0.033339,0.046222,0.031365,0.046714,0.050644,0.023239,0.025693,0.041548,0.035707,0.028788,0.040808,0.038802,0.043682,0.03975,0.04636
12,3000.0,0.061886,0.055612,0.035185,0.058198,0.066941,0.072043,0.037958,0.054966,0.065875,0.019751,0.042578,0.054724,0.054743,0.040412,0.026754,0.069417,0.056,0.061439,0.035901,0.072174,0.063554,0.070277,0.0496,0.063168,0.041492,0.060636,0.050939,0.058913,0.054631,0.050393,0.062744,0.05337,0.056152,0.062042,0.046404,0.061415,0.055597,0.059859,0.074863,0.043073,0.055286,0.055023,0.059969,0.060834,0.061439,0.047327,0.057971,0.058794,0.05161,0.040501,0.062494,0.06593,0.046838,0.061021,0.036478,0.056314,0.035273,0.055727,0.055071,0.030535,0.027046,0.048978,0.040634,0.032737,0.0492,0.044706,0.047395,0.0407,0.053394
13,3250.0,0.056959,0.050479,0.035103,0.055843,0.06924,0.071528,0.037176,0.054132,0.068087,0.010853,0.043304,0.057331,0.060579,0.03854,0.023077,0.073815,0.054497,0.062056,0.034428,0.06716,0.064473,0.072816,0.045492,0.057133,0.043017,0.063334,0.053464,0.062651,0.06791,0.053905,0.063302,0.053196,0.058488,0.065646,0.049688,0.058805,0.052811,0.062876,0.076177,0.036613,0.057946,0.050715,0.06615,0.064682,0.062777,0.051367,0.069684,0.063087,0.05314,0.04815,0.065597,0.068656,0.051198,0.064128,0.037053,0.053648,0.037012,0.052892,0.061698,0.03554,0.027942,0.050641,0.049458,0.038229,0.057497,0.048062,0.054002,0.040853,0.060908
14,3500.0,0.052046,0.044079,0.031135,0.048637,0.067506,0.06396,0.035145,0.04952,0.061132,0.008975,0.038221,0.051144,0.058477,0.03416,0.019896,0.069888,0.047166,0.057241,0.034286,0.06075,0.061577,0.068353,0.038612,0.051377,0.037032,0.057456,0.051811,0.058466,0.066313,0.050656,0.060477,0.048475,0.053988,0.057674,0.046306,0.055553,0.046907,0.060208,0.070341,0.029079,0.053175,0.040634,0.061936,0.058762,0.058541,0.045797,0.065709,0.057571,0.050672,0.045722,0.062194,0.065833,0.048456,0.061175,0.034208,0.049525,0.032715,0.047764,0.060135,0.034095,0.022954,0.04693,0.046408,0.034251,0.055458,0.040433,0.052463,0.036013,0.06013
15,3750.0,0.053038,0.046436,0.038079,0.053117,0.071174,0.062853,0.040171,0.055761,0.065901,0.008879,0.043256,0.055974,0.064328,0.041044,0.025725,0.070838,0.047533,0.05507,0.038784,0.055309,0.058662,0.069307,0.039918,0.047383,0.037115,0.060173,0.051878,0.060817,0.078492,0.053188,0.057933,0.049292,0.053584,0.05976,0.049287,0.05274,0.040722,0.06187,0.068953,0.021991,0.057325,0.039373,0.065841,0.059426,0.060216,0.048116,0.072365,0.05982,0.049448,0.049123,0.059287,0.065546,0.05399,0.058386,0.036637,0.044357,0.036012,0.043618,0.067458,0.03295,0.030774,0.050231,0.052986,0.04034,0.062694,0.045474,0.057054,0.037478,0.06418
16,4000.0,0.0521,0.045557,0.036049,0.053983,0.068943,0.062689,0.03898,0.057506,0.067724,0.003953,0.044536,0.056643,0.063155,0.039651,0.024706,0.069797,0.048273,0.052975,0.034827,0.054135,0.054755,0.06843,0.039035,0.044884,0.036619,0.060814,0.047866,0.05913,0.078655,0.052007,0.054762,0.047895,0.051614,0.060835,0.047616,0.050228,0.038135,0.059823,0.067724,0.021143,0.056492,0.038711,0.065386,0.059408,0.059905,0.048458,0.074977,0.061129,0.04797,0.048123,0.057707,0.064991,0.054053,0.05634,0.036414,0.043122,0.035899,0.041848,0.067645,0.032094,0.031884,0.049534,0.053084,0.041009,0.063227,0.04718,0.055454,0.036994,0.06306
17,4250.0,0.048288,0.042392,0.035426,0.049907,0.062457,0.058926,0.037362,0.051879,0.06267,0.005786,0.042615,0.053214,0.058143,0.037204,0.024639,0.065638,0.046765,0.049296,0.03092,0.048939,0.050111,0.061948,0.035582,0.039458,0.033904,0.056282,0.043898,0.053994,0.071218,0.047565,0.04896,0.043664,0.047256,0.057181,0.043363,0.045078,0.035554,0.053161,0.061333,0.019426,0.051155,0.036172,0.059069,0.055931,0.056522,0.046387,0.069301,0.05703,0.045767,0.045962,0.054371,0.059276,0.050451,0.052882,0.034361,0.040118,0.034503,0.039136,0.063445,0.03257,0.032133,0.046003,0.051872,0.040195,0.058266,0.046465,0.052541,0.037144,0.058564
18,4500.0,0.042529,0.040057,0.033286,0.044605,0.049242,0.050909,0.032812,0.04473,0.053809,0.008748,0.037979,0.046678,0.047558,0.033945,0.024441,0.054388,0.04279,0.041338,0.025947,0.042206,0.040645,0.050555,0.033446,0.033739,0.03009,0.047525,0.034549,0.045054,0.055959,0.039205,0.038798,0.037526,0.039842,0.049869,0.036209,0.036662,0.030535,0.042047,0.050196,0.0193,0.042996,0.036056,0.048283,0.048418,0.04868,0.041415,0.05698,0.049343,0.038232,0.03887,0.044561,0.049028,0.043206,0.044106,0.031715,0.034836,0.031984,0.035394,0.052909,0.027679,0.031874,0.040116,0.044774,0.036444,0.048716,0.045167,0.04408,0.035032,0.04804
19,4750.0,0.036307,0.033721,0.026191,0.038362,0.040726,0.043246,0.024845,0.039276,0.047345,0.004982,0.03244,0.039823,0.039455,0.027512,0.01856,0.045325,0.035503,0.034705,0.019256,0.036183,0.032394,0.042658,0.028381,0.029409,0.02706,0.039383,0.0271,0.037138,0.046875,0.032675,0.032251,0.031163,0.033824,0.042535,0.030353,0.030395,0.026237,0.035509,0.042482,0.019414,0.036527,0.031286,0.040763,0.0404,0.038117,0.03485,0.048994,0.041493,0.029511,0.031719,0.03619,0.040693,0.035107,0.036269,0.025547,0.030428,0.026778,0.030447,0.042241,0.023138,0.025793,0.034502,0.036548,0.030604,0.041656,0.037416,0.034983,0.02701,0.039732
20,5000.0,0.027602,0.024674,0.0185,0.029206,0.031006,0.032613,0.017128,0.030236,0.03645,0.002525,0.024631,0.030186,0.029503,0.019986,0.012445,0.033437,0.025748,0.026154,0.01324,0.02769,0.023871,0.032531,0.02141,0.023166,0.02176,0.029484,0.020099,0.027466,0.035693,0.024976,0.02484,0.02343,0.025593,0.032177,0.023179,0.022974,0.020793,0.027702,0.032621,0.01731,0.028158,0.023669,0.031432,0.030412,0.027192,0.026309,0.037935,0.031223,0.021353,0.023521,0.027243,0.030456,0.025875,0.026997,0.018749,0.023838,0.02032,0.023182,0.030636,0.018247,0.019023,0.026659,0.026929,0.023354,0.031801,0.027013,0.025488,0.019062,0.029569
